customer_unique_id,acy_avl_bal
56000,136043.48
62005,1541733.575
104008,12364.06
175007,20029.55
200006,61489.56
226008,36438.18
233018,246.23
305007,101.26
320010,-401869.89
373010,12.88
488001,44087.29
590014,2139.5
611011,2.33
650004,3050.86
710019,306918.28
750019,1078.9
790019,57.57
922001,3920.37
983000,-106155.67000000001
1208003,5011.11
1253017,6059.39
1254006,3607309.26
1321003,695.35
1352000,-284286.255
1564017,1496896.55
1613014,70479.07
1656002,133445.36
1664008,278.32
1673015,21.35
1710019,4913.35
1730019,44.45
1740019,390.35
1855019,403.86
1861000,67272.26
1875008,12979.01
1925006,30232.7
1933009,7.39
1964005,7128.0
2146009,394.7
2159000,573.9
2267004,-50.0
2272008,-219737.28999999998
2303010,310535.82
2366007,200259.75
2398001,853.67
2412017,31.64
2466001,27.73
2469006,52.35
2471001,-274390.37
2513012,65.1
2521003,3367.71
2582010,36.59
2596006,111047.27
2664008,733.03
2706016,38.28
2750019,6325.26
2752003,2396596.3499999996
2755001,121770.98
2793008,52.33
2829002,13.35
2955003,60054.82
3002003,14922.445000000002
3012012,5220.24
3032000,197.58
3052000,8.48
3072000,61706.810000000005
3082003,797765.82
3147009,3396.98
3154000,62733.12
3200019,-44.44
3434002,-20.61
3463017,163.22
3583004,126.76
3621001,137952.57
3736014,10013.35
3764018,5.54
3830006,169318.21500000003
3935009,7.25
3936019,226.23
3971006,85093.73999999999
3974003,242738.3
3981007,-642099.0650000002
3984011,30.2
4019001,116.77
4088002,739.5
4206000,-5847.98
4211004,1005169.27
4257007,10805.65
4313010,15.91
4513006,76019.76
4522009,44.0
4574019,-202.0
4596019,34.36
4613018,26456.2
4724005,13571.87
4725005,1365.93
4821008,7347.68
4826002,2775.69
4872002,79.61
4905007,154898.0
4915004,172572.33
4915007,63424.02
4921004,-480707.35000000003
4995002,18533.65
4995004,356674.38
5093005,89.24
5216001,38.4
5393010,2754.95
5405007,394751.85
5449003,177.21
5511001,208.07
5715009,29602.79
5722003,-3085.0200000000004
5775003,90.07
5785002,21.42
5875004,-59824.07
5881003,2159.21
5943001,-52.5
5994018,87.76
5995004,38.63
6067011,25.36
6076005,37879.090000000004
6094003,3589.9900000000002
6258002,360162.11
6294007,50856.35
6296008,20828.17
6326007,21.29
6326016,58.74
6331007,481.58
6363010,65.87
6435001,14061.59
6518006,4193.3
6585018,135.41
6698000,99.79
6740019,1719.0
6750019,1731.9
6771008,208.93
6890011,9.719999999999999
6964008,34.77
6991006,632.61
7017009,56341.81
7043003,698.08
7312004,40.3
7393010,70.66
7569000,423.06
7591005,16069.32
7684006,113254.27
7711003,24282.83
7754005,10301.29
7763007,9950.88
7792005,218.73
7891018,2.61
7904012,40.58
7931000,136170.15
7940007,388.5
7952015,34.94
7971005,42024.13
7981019,2714.42
7995003,51335.24
8007007,102086.1
8022005,412.84
8034005,582.5
8106008,921.26
8173014,7.49
8204006,474266.185
8216001,391152.49
8236001,18236.76
8316007,-52.5
8367007,20129.87
8490002,46368.785
8627002,2054.575
8767003,1476.6
8884003,82.1
8885003,524.38
8911009,-19.130000000000003
8921006,12498.85
8975002,23662.77
8991001,720.94
8993008,22394.51
9019002,-4328.84
9215016,2717.64
9280008,44419.51
9325014,3060.41
9426001,2519.52
9432017,777.95
9454009,8000.42
9563004,80.21000000000001
9658007,66.62
9714000,331.23
9714004,115698.88
9722006,66698.56
9852008,14.84
9892004,187746.81
9909006,-76.6
9930006,486.62
9941007,62.06
9951019,75.32
10014006,111633.62
10077005,17239.46
10205007,1621.93
10222000,930.82
10262017,11956.56
10273005,-81599.98
10413007,28.64
10464008,18.25
10483003,14085.52
10484008,64.72
10495004,92.68
10569004,21207.58
10640006,19.03
10660014,19435.6
10714000,80679.47
10735011,46487.24
10915003,18846.23
10921007,54107.14
11012011,83.01
11012017,14.49
11013015,685.83
11029002,1745.0
11032007,531133.84
11103017,29.2
11160010,13082.31
11192008,37.05
11193013,32376.15
11205001,159.46
11256006,16177.83
11383011,159.91
11385003,7.97
11453003,234.3
11607007,5.3
11616001,17768.4
11626001,213.53
11672002,22723.190000000002
11765003,248793.18
11893002,-58.8
11904011,559.04
11935003,5178.76
11961009,161777.55
11976002,263073.25
12046004,6186.98
12073000,100621.55
12106001,10086.85
12253002,6.51
12274001,56.43000000000001
12291004,290533.63
12316005,138068.98
12326000,750.98
12383019,18198.5
12417002,49493.68
12486004,45964.87
12526009,1112.26
12573013,479.85
12650005,15189.82
12666002,10756.67
12731013,9058.73
12856015,-42.07
12886016,3081.96
12905003,187.21
12995010,298.61
13086009,-83.93
13193013,185.63
13231006,1428.17
13273001,38583.45
13316009,27.0
13470007,3432.13
13493008,1109.64
13505017,2.22
13610014,798.14
13636002,11905.9
13637004,3708.0299999999997
13684013,147.13
13694013,19.56
13722009,-86531.46500000001
13742010,911.18
13792005,2.96
13799006,10124.62
13807009,20219.25
13831000,459.73
13931016,-52.43
13933008,7822.040000000001
13986008,1271.24
14101006,54543.84
14354009,407.12
14356004,579.38
14396004,136.03
14410003,-2.62
14423005,3869.69
14581019,1.14
14723012,2.47
14823006,13405.39
14869004,99.42
14933001,580.57
14941013,72.72
15024003,75421.93
15095002,6007.24
15254012,95554.37
15313011,6365.41
15327006,57146.53
15415007,112467.04000000001
15561013,58.66
15573018,-52.5
15615009,177485.56
15665002,31427.87
15685009,75894.59
15703006,1660.66
15731010,25336.63
15776011,142.53
15840013,15008.57
15951009,808.57
16081016,10003.07
16168002,211.13
16210006,137551.72
16222015,89.42
16234000,399.96
16293011,6.12
16306006,399602.68
16309005,35.78
16356004,264.47
16393003,45867.97
16396004,-17.1
16561004,1625.35
16596002,1134389.25
16679003,79192.84000000001
16744003,-30089.46
16792003,777.2
16836012,535463.1
16861003,5935.64
16882004,-587996.82
16986015,28313.03
17236001,0.17
17257000,145937.67
17263010,517062.67
17273005,24238.26
17363010,418.28
17455001,72196.90999999999
17552019,1191.55
17612002,76265.56000000001
17613007,53860.43
17614007,40767.840000000004
17645000,260236.67
17701013,30587.22
17876012,389.5
17885000,15528225.58
17914002,-123.97
18002007,1040.85
18030000,292074897.5795
18056008,-101.64
18336004,-180896.13999999998
18366009,149066.86
18414008,0.24
18426010,5.04
18527005,0.98
18545018,5926.2
18624009,352.96000000000004
18624018,0.86
18771013,-10.04
18812013,32094.49
18836012,3.99
18851001,522.41
18856019,-52.5
18884017,263.49
18896001,111986.14
18945003,264600.97
18945006,728.3
18947006,5.97
18955005,85319.39
18975003,215430.32
19124005,3976.73
19143002,2313.52
19320000,12647.5
19383010,350.34
19400009,-76031.95299999998
19424013,1122.34
19425007,345.07
19476009,103.08
19691011,678967.31
19795012,135040.97
19821006,17006.64
19821016,49.66
19842017,4096.74
19911017,-5.25
19923007,1397.26
19955015,-52.5
19964011,-1000.0
20064006,455.09
20103004,523.62
20127009,38.44
20146002,7792.56
20252007,5.89
20313010,7.26
20328007,-26.39
20493006,984.21
20596011,219.44
20615005,144352.5
20622015,-157.5
20661007,85072.04000000002
20725012,61.62
20844002,4502.13
20955004,46614.47
20965003,212007.35
21168002,774.99
21204012,16.94
21245000,224605.91
21254009,36301.719999999994
21282018,42.04
21294001,10.45
21486005,26261.04
21610002,11181.54
21684006,727870.625
21759002,22872.47
21811003,15207.14
21883000,37.82
21896010,-70801.86
21924003,156.85999999999999
21936018,0.02
21941009,11.32
21942001,10647.13
21953001,14786.44
21995004,44922.72
22002000,9842.76
22051002,15472.39
22095011,21295.12
22164008,11698.0
22186007,30945.14
22323000,247569.85
22403006,216.51
22566008,62692.71
22584024,85503.58
22594016,-64921.3
22742004,564.05
22764005,12416.17
22785002,45587.2
22792005,6690.87
22834007,515.71
22841005,356285.5
22886010,14451.92
22946018,15.84
22972006,111589.08499999999
23063006,1178.72
23211000,12.16
23293010,239043.44500000007
23323010,-28747.870000000003
23355000,63676.75000000001
23454019,5791.31
23560010,19.12
23627007,2433.78
23643000,75322.76
23935019,-52.5
23973008,6832.98
23974004,320784.27
23976002,4147.53
24181013,36.16
24183008,4853.65
24212017,60.23
24272001,40026.69
24306009,305427.80500000005
24366007,93.34
24371009,-34.2
24451001,9847.13
24566003,5000.0
24571007,233.29
24583008,45605.229999999996
24680009,60.86
24761005,518.78
24945006,28.7
24969001,965.36
24982002,5449.08
25045018,9.84
25066008,496698.92
25092000,7041.63
25111005,122378.34999999999
25213010,4400.97
25241008,854.45
25260013,143.16
25263017,112741.28
25272004,66574.87
25317004,223820.45
25467009,30.85
25561005,2355.48
25574009,-38.55
25610009,87882.09
25614013,419.59
25640009,57216.32
25641000,29631.085
25653007,732.15
25711018,38052.229999999996
25723010,15516.710000000001
25802002,208801.78
25892016,28.990000000000002
25915005,21144.04
25916016,18.15
25923003,60267.03
25925005,133894.81
26155006,58.28
26240013,92.98
26273002,6.55
26276006,191592.4
26432010,6.24
26456005,1516.03
26485004,20.79
26524000,740.6899999999999
26561001,0.55
26608002,104.23
26641019,-52.03
26732006,346377.82
26755007,305.44
26806013,34.09
26914019,25599.51
26983009,168.31
26992001,48777.26
26995005,124988.08
27006008,43.75
27053011,288.43
27176008,71.96
27181007,138892.21
27210013,657.08
27241005,459.21999999999997
27413012,-66.38
27415000,2103.77
27423012,1299.21
27549002,340.73
27601008,14231661.24
27684009,477803.31
27782006,-21691.80999999996
27870009,489.18
