customer_unique_id,customer_type,language,customer_category,date_of_birth,minor,sex,marital_status
18030000,I,ENG,IND,1966-08-15 00:00:00,N,M,M
33020001,I,ENG,IND,1950-01-01 00:00:00,N,M,S
69090004,I,ENG,IND,1970-04-10 00:00:00,N,F,M
81010006,I,ENG,IND,1967-04-26 00:00:00,N,M,M
71120007,I,ENG,IND,1965-09-24 00:00:00,N,M,M
82150007,I,ENG,IND,1962-12-01 00:00:00,N,M,S
91290003,I,ENG,IND,1958-10-14 00:00:00,N,M,S
92240003,I,ENG,IND,1947-11-30 00:00:00,N,M,S
200006,I,ENG,IND,1952-04-11 00:00:00,N,F,M
16210006,I,ENG,IND,1970-12-26 00:00:00,N,M,M
81230006,I,ENG,IND,1973-09-16 00:00:00,N,M,M
9280008,I,ENG,IND,1963-02-25 00:00:00,N,M,M
19320000,I,ENG,IND,1958-12-12 00:00:00,N,M,S
66370000,I,ENG,HNI,1963-01-16 00:00:00,N,M,S
62340003,I,ENG,IND,1977-10-20 00:00:00,N,M,M
80310003,I,ENG,IND,1980-01-10 00:00:00,N,M,S
30330005,I,ENG,IND,1971-02-19 00:00:00,N,M,M
8490002,I,ENG,IND,1992-06-08 00:00:00,N,M,S
14410003,I,ENG,IND,1959-11-26 00:00:00,N,M,M
63400006,I,ENG,IND,1968-12-16 00:00:00,N,F,S
74420006,I,ENG,IND,1983-10-21 00:00:00,N,F,M
13470007,I,ENG,IND,1969-12-12 00:00:00,N,M,S
85400008,I,ENG,IND,1981-05-28 00:00:00,N,M,S
19400009,I,ENG,RSA,1971-05-06 00:00:00,N,M,M
70520003,I,ENG,IND,1974-07-29 00:00:00,N,F,M
69510004,I,ENG,IND,1967-11-28 00:00:00,N,M,M
38540008,I,ENG,IND,1977-07-06 00:00:00,N,F,M
53590009,I,ENG,IND,1970-06-13 00:00:00,N,F,S
31620001,I,ENG,IND,1975-07-25 00:00:00,N,M,S
92650001,I,ENG,IND,1973-07-12 00:00:00,N,M,M
21610002,I,ENG,IND,1970-12-25 00:00:00,N,M,M
75630002,I,ENG,IND,1973-08-12 00:00:00,N,M,M
54670003,I,ENG,IND,1974-03-14 00:00:00,N,M,S
650004,I,ENG,IND,1975-07-11 00:00:00,N,M,M
95620004,I,ENG,IND,1982-10-18 00:00:00,N,F,M
12650005,I,ENG,IND,1954-11-05 00:00:00,N,M,S
